2100,losing,72766546,126349219,1086
2101,winning,54946642,126353012,1087
2102,winning,2165379,126349608,1029
2103,winning,44507469,126353952,1068
2104,withdrawn,85118264,126351251,1073
2105,winning,42458987,126351554,1013
2106,losing,32992135,126350911,1044
2107,winning,35906987,126352434,1073
2108,losing,112449308,126350337,1029
2109,winning,44710266,126352752,1081
2110,losing,15298685,126352903,1009
2111,winning,64165957,126349219,1035
2112,withdrawn,81310318,126352841,1017
2113,losing,59847702,126352542,1098
2114,withdrawn,121836212,126354031,1040
2115,losing,107234857,126352813,1040
2116,withdrawn,103760609,126352752,1028
2117,losing,58442157,126349985,1022
2118,winning,134908034,126350588,1049
2119,winning,20721880,126351320,1028
2120,winning,54686354,126352442,1048
2121,winning,176301947,126351320,1038
2122,withdrawn,73674788,126353744,1008
2123,withdrawn,75312949,126349372,1063
2124,losing,10693025,126352087,1003
2125,losing,127569294,126351777,1068
2126,withdrawn,13324753,126351251,1033
2127,winning,23981707,126352624,1095
2128,withdrawn,6299285,126349219,1019
2129,losing,30290299,126352441,1068
2130,withdrawn,44364690,126352716,1025
2131,losing,29898402,126353089,1021
2132,withdrawn,210716533,126352104,1078
2133,losing,126935313,126352434,1062
2134,withdrawn,215989646,126351777,1069
2135,losing,97399343,126323245,1089
2136,losing,56944505,126351383,1027
2137,losing,7195886,126353416,1027
2138,withdrawn,86521020,126350640,1062
2139,losing,138018048,126347114,1085
2140,winning,22659783,126351251,1055
2141,winning,74983759,126350310,1037
2142,withdrawn,6857441,126353861,1095
2143,withdrawn,95398306,126353410,1015
2144,winning,20246826,126353553,1050
2145,losing,53279641,126354031,1034
2146,losing,179217314,126353861,1083
2147,withdrawn,96054481,126349130,1077
2148,winning,40346881,126351216,1059
2149,winning,80543883,126350149,1001
2150,losing,108728390,126352073,1023
2151,withdrawn,40805943,126353691,1046
2152,withdrawn,70158138,126353358,1090
2153,winning,4306100,126351636,1030
2154,withdrawn,1463972,126353442,1079
2155,winning,41939329,126353442,1033
2156,withdrawn,93107543,126354196,1043
2157,withdrawn,79303300,126353530,1056
2158,withdrawn,52342070,126352347,1069
2159,withdrawn,162483962,126353369,1080
2160,losing,72891730,126353529,1062
2161,withdrawn,127606923,126350935,1047
2162,winning,95945655,126354179,1089
2163,losing,64314206,126353416,1087
2164,winning,18120626,126353861,1047
2165,winning,60149820,126351645,1064
2166,withdrawn,1283641,126349130,1093
2167,winning,31538241,126351645,1058
2168,winning,21617779,126352563,1008
2169,losing,250834532,126350935,1028
2170,winning,40474931,126350640,1011
2171,losing,112279172,126350588,1012
2172,winning,117577487,126352652,1086
2173,losing,87643777,126352157,1010
2174,losing,105118665,126352542,1062
2175,losing,74769655,126351648,1084
2176,winning,12527014,126354051,1045
2177,losing,179929733,126352104,1088
2178,withdrawn,90666190,126352913,1027
2179,losing,163073131,126351320,1050
2180,winning,56437800,126350743,1063
2181,winning,11994799,126349246,1070
2182,withdrawn,66246210,126353691,1074
2183,losing,22550089,126351491,1064
2184,losing,49911382,126353012,1033
2185,winning,74516859,126353416,1029
2186,withdrawn,27609901,126351383,1063
2187,withdrawn,55583684,126352104,1083
2188,losing,6500656,126349608,1072
2189,losing,5374044,126352791,1071
2190,withdrawn,24739847,126353952,1087
2191,losing,117052201,126353089,1067
2192,withdrawn,99270559,126353358,1094
2193,winning,209423709,126350512,1018
2194,withdrawn,33677381,126352157,1024
2195,winning,59050226,126353553,1024
2196,winning,20666336,126352772,1038
2197,losing,20376210,126350743,1065
2198,winning,7097058,126354051,1014
2199,withdrawn,63010281,126350935,1089
