126347107,Mitsubishi Xpander Cross No Variant 1.5 MT Bensin 2019,mitsubishi,Xpander,MPV,1.5 ,2019,92253,Manual,HITAM MIKA,203400000,1/9/2023,3/5/2023,FALSE,Deactive,1087,4000076
126349978,"Toyota All New Rush TRD Sportivo 1,5 AT Bensin 2018",toyota,Rush,SUV,1.5 ,2018,58854,Automatic,Hitam,170600000,4/2/2023,4/11/2023,TRUE,Active,1022,4000055
126323245,"Honda Brio IVTEC E 1,3 MT Bensin 2017",honda,Brio,Hatchback,1.3 ,2017,90000,Manual, Merah,112800000,1/1/2023,1/14/2023,TRUE,Deactive,1035,4000064
126352363,"Honda BR-V ES Prestige 1,5 AT Bensin 2020",honda,BR-V,MPV,1.5 ,2020,13891,Automatic,Abu-abu,196500000,2/9/2023,4/12/2023,TRUE,Active,1078,4000007
126351554,Toyota Land Cruiser Hard Top Hardtop Jeep 4.2 MT Bensin 1981,toyota,Land Cruiser,SUV,4.2 ,1981,417222,Manual,HJAU,60000000,4/4/2023,4/5/2023,TRUE,Active,1024,4000016
126350640,Honda Elysion RD5 2WD 2.4 AT Bensin 2005,honda,Elysion,SUV,2.4 ,2005,170867,Automatic,Hitam,90600000,1/25/2023,2/24/2023,FALSE,Active,1031,4000020
126351777,Mitsubishi Pajero PAJERO SPR2.4L DAKAR 4X2 8AT 2442 AT solar 2016,mitsubishi,Pajero,SUV,2.5 ,2016,66292,Automatic,Hitam,250000000,1/24/2023,2/16/2023,TRUE,Deactive,1015,4000031
126353009,"Toyota Calya Satya E 1,2 MT Bensin 2017",toyota,Calya,MPV,1.2 ,2017,130000,Manual,Orange metalik,100000000,4/13/2023,4/15/2023,FALSE,Active,1073,4000011
126351636,"Honda All New CR-V Prestige 2,4 AT Bensin 2013",honda,Civic Turbo,Sedan,2.4 ,2013,158519,Automatic,HITAM MUTIARA,156200000,1/7/2023,1/19/2023,FALSE,Deactive,1060,4000050
126351383,"Mitsubishi Xpander Exceed 1,5 MT Bensin 2018",mitsubishi,Xpander,MPV,1.5 ,2018,2201,Manual,HITAM MIKA,152100000,2/9/2023,4/4/2023,FALSE,Deactive,1085,4000022
126353012,Suzuki APV GC 415 V DLX 1.5 MT Bensin 2014,suzuki,APV,MPV,1.5 ,2014,67000,Manual,HITAM METALIK,100000000,2/3/2023,4/14/2023,TRUE,Active,1097,4000086
126352716,Mitsubishi Strada Triton Double Cabin HDX 4x4 2.5 MT Solar 2018,mitsubishi,Strada,SUV,2.5 ,2018,81000,Manual,PUTIH SOLID,200000000,1/22/2023,1/22/2023,TRUE,Deactive,1067,4000072
